
Дата,Кал ( ккал),Жир( г),Н/жир( г),Углев( г),Клетч( г),Сахар( г),Белк( г),Натри( мг),Холес( мг),Калий( мг)
 Обед,539,"3,5","0,825",60,0,0,"62,92",162,145,638
  Селяночка Рис Круглозёрный Шлифованный,264,"0,4",,60,,,"5,2",,,
   80 г
  Куриные Грудки,275,"3,1","0,825",0,0,0,"57,72",162,145,638
   250 г
 Ужин,996,"25,55","3,809","141,77","7,9","22,58","47,73",1040,86,836
  Додо Пицца Чоризо Фреш Пицца ,160,"4,98",,"21,84",,,6,,,
   60 г
  Додо Пицца Сырная,176,"6,18",,"22,68",,,"6,36",,,
   60 г
  Яблоко Зеленое,79,"0,26","0,042","20,92","3,6","15,73","0,39",1,0,162
   180 г
  Шаурма с Курицей,581,"14,13","3,767","76,33","4,3","6,85","34,98",1039,86,674
   1 порция (385 г)
 Перекус/Другое,442,"14,71","1,75","66,58","6,66","13,2","12,85","960,35",,
  Natty's Арахисовая Паста Кранчи,122,"9,8",1,"4,2","1,4",0,"4,8","0,35",,
   20 г
  Harry's Сандвичный Хлеб Пшеничный,222,"4,8","0,64","38,4","2,4",,"6,4",960,,
"   2 x 1 ломтик, 80 г"
  Магнит Банан,98,"0,11","0,11","23,98","2,86","13,2","1,65",,,
   110 г

"суббота, марта 1, 2025",1619,"39,25","0,255","223,82","24,96","54,51","90,58","202,1",0,"528,8"
 Завтрак,741,"14,25","0,255","138,47","19,96","47,01","16,08","102,1",0,"528,8"
"  Ne Moloko Овсяное Классическое 3,2%",175,8,,"23,75",5,"7,5","2,5",100,,
   250 мл
  Яблоко Зеленое,66,"0,21","0,035","17,44",3,"13,11","0,32",1,0,135
   150 г
  Ясно Солнышко Овсяные Хлопья #2,304,"5,6",,48,8,,"10,4",,,
   80 г
  Пятерочка Банан,98,"0,33","0,11","25,3","1,1","13,2","1,21","1,1",,"393,8"
   110 г
  Магнит Банан,98,"0,11","0,11","23,98","2,86","13,2","1,65",,,
   110 г
 Обед,600,"16,5",,61,,,48,,,
  Степь Агрохолдинг Гречка,320,"2,5",,61,,,12,,,
   100 г
  Пава Пава Фарш Нежный Охлажденный,280,14,,0,,,36,,,
   2 x 100g (200 г)
 Ужин,278,"8,5",,"24,35",5,"7,5","26,5",100,,
"  Ne Moloko Овсяное Классическое 3,2%",175,8,,"23,75",5,"7,5","2,5",100,,
   250 мл
  Bombbar Casein,103,"0,5",,"0,6",,,24,,,
"   1 порция, 30 г"
 Перекус/Другое,,,,,,,,,,

"воскресенье, марта 2, 2025",2214,"57,69","10,365","265,27","17,3","6,11","141,58",1134,970,910
 Завтрак,513,"32,98","8,235","15,11","2,3","6,11","38,27",1069,912,655
  Империя Вкуса Ветчина с Индейкой 3%,91,"3,3",,"5,5",,,"9,9",,,
   110 г
  Помидоры,18,"0,2","0,046","3,92","1,2","2,63","0,88",5,0,237
   100 г
  Жареное Яйцо,388,"29,38","8,174","1,86",0,"1,66","27,12",1036,912,290
   200 г
  Морковь,16,"0,1","0,015","3,83","1,1","1,82","0,37",28,0,128
   40 г
 Обед,642,"18,6",,61,,,"53,4",,,
  Степь Агрохолдинг Гречка,320,"2,5",,61,,,12,,,
   100 г
  Пава Пава Фарш Нежный Охлажденный,322,"16,1",,0,,,"41,4",,,
   230 г
 Ужин,444,"1,79","0,33","75,53",0,0,"29,93",65,58,255
  Global Village Руккола,4,"0,05",,"0,53",,,"0,34",,,
   23 г
  Куриное Филе,110,"1,24","0,33",0,0,0,"23,09",65,58,255
   100 г
  Селяночка Рис Круглозёрный Шлифованный,330,"0,5",,75,,,"6,5",,,
   100 г
 Перекус/Другое,615,"4,32","1,8","113,63",15,0,"19,98",0,0,0
  Bombbar Батончик Пудинг,176,"4,32","1,8","3,96",15,0,"19,98",0,0,0
   60 г
  Сады Придонья Сок Яблочный Прямого Отжима,439,0,,"109,67",,,0,,,
   997 мл

